features,recall,precision,alerts_per_case,n,n_pos,commit
base,0.5,0.03806944886906658,26.267782426778243,862792,956,2546822
base,0.8,0.01298767444229398,76.99607843137255,862792,956,2546822
base_gfp,0.5,0.22718631178707224,4.401673640167364,862792,956,2546822
base_gfp,0.8,0.024451831490123376,40.896732026143795,862792,956,2546822
