time,f1,pr_auc,n,n_pos,regime,model,features,seed
44,0.06896551724137931,0.07788579653877692,1591,24,temporal,xgb,base_gfp,1
45,0.0,0.024355266922437342,1221,5,temporal,xgb,base_gfp,1
46,0.4,0.25662251655629137,712,2,temporal,xgb,base_gfp,1
47,0.0,0.029706075927019782,846,22,temporal,xgb,base_gfp,1
48,0.0,0.08325924370278584,471,36,temporal,xgb,base_gfp,1
49,0.03508771929824561,0.14020357858066365,476,56,temporal,xgb,base_gfp,1
38,0.9117647058823529,0.9573526464857718,756,111,temporal,xgb,base_gfp,2
39,0.8591549295774648,0.9419886983775043,1183,81,temporal,xgb,base_gfp,2
40,0.6745562130177515,0.7404852136848538,1211,112,temporal,xgb,base_gfp,2
41,0.9014084507042254,0.9505818745361571,1132,116,temporal,xgb,base_gfp,2
42,0.8029556650246306,0.8704932753715025,2154,239,temporal,xgb,base_gfp,2
43,0.0,0.021710984634709773,1370,24,temporal,xgb,base_gfp,2
44,0.06896551724137931,0.07788579653877692,1591,24,temporal,xgb,base_gfp,2
45,0.0,0.024355266922437342,1221,5,temporal,xgb,base_gfp,2
46,0.4,0.25662251655629137,712,2,temporal,xgb,base_gfp,2
47,0.0,0.029706075927019782,846,22,temporal,xgb,base_gfp,2
48,0.0,0.08325924370278584,471,36,temporal,xgb,base_gfp,2
49,0.03508771929824561,0.14020357858066365,476,56,temporal,xgb,base_gfp,2
38,0.9117647058823529,0.9573526464857718,756,111,temporal,xgb,base_gfp,3
39,0.8591549295774648,0.9419886983775043,1183,81,temporal,xgb,base_gfp,3
40,0.6745562130177515,0.7404852136848538,1211,112,temporal,xgb,base_gfp,3
41,0.9014084507042254,0.9505818745361571,1132,116,temporal,xgb,base_gfp,3
42,0.8029556650246306,0.8704932753715025,2154,239,temporal,xgb,base_gfp,3
43,0.0,0.021710984634709773,1370,24,temporal,xgb,base_gfp,3
44,0.06896551724137931,0.07788579653877692,1591,24,temporal,xgb,base_gfp,3
45,0.0,0.024355266922437342,1221,5,temporal,xgb,base_gfp,3
46,0.4,0.25662251655629137,712,2,temporal,xgb,base_gfp,3
47,0.0,0.029706075927019782,846,22,temporal,xgb,base_gfp,3
48,0.0,0.08325924370278584,471,36,temporal,xgb,base_gfp,3
49,0.03508771929824561,0.14020357858066365,476,56,temporal,xgb,base_gfp,3
38,0.9117647058823529,0.9573526464857718,756,111,temporal,xgb,base_gfp,4
39,0.8591549295774648,0.9419886983775043,1183,81,temporal,xgb,base_gfp,4
40,0.6745562130177515,0.7404852136848538,1211,112,temporal,xgb,base_gfp,4
41,0.9014084507042254,0.9505818745361571,1132,116,temporal,xgb,base_gfp,4
42,0.8029556650246306,0.8704932753715025,2154,239,temporal,xgb,base_gfp,4
43,0.0,0.021710984634709773,1370,24,temporal,xgb,base_gfp,4
44,0.06896551724137931,0.07788579653877692,1591,24,temporal,xgb,base_gfp,4
45,0.0,0.024355266922437342,1221,5,temporal,xgb,base_gfp,4
46,0.4,0.25662251655629137,712,2,temporal,xgb,base_gfp,4
47,0.0,0.029706075927019782,846,22,temporal,xgb,base_gfp,4
48,0.0,0.08325924370278584,471,36,temporal,xgb,base_gfp,4
49,0.03508771929824561,0.14020357858066365,476,56,temporal,xgb,base_gfp,4
38,0.7722772277227723,0.8487251138331013,756,111,temporal,sage,base,0
39,0.6301369863013698,0.7259786251933279,1183,81,temporal,sage,base,0
40,0.6086956521739131,0.736471374302491,1211,112,temporal,sage,base,0
41,0.719626168224299,0.769932501680787,1132,116,temporal,sage,base,0
42,0.814317673378076,0.8882095153274527,2154,239,temporal,sage,base,0
43,0.0,0.036183086506333395,1370,24,temporal,sage,base,0
44,0.03571428571428571,0.07907004591282853,1591,24,temporal,sage,base,0
45,0.0,0.02731986823410381,1221,5,temporal,sage,base,0
46,0.0,0.010069836343115124,712,2,temporal,sage,base,0
47,0.0,0.05454398533850883,846,22,temporal,sage,base,0
48,0.0,0.226523272803482,471,36,temporal,sage,base,0
49,0.03225806451612903,0.10988341730938456,476,56,temporal,sage,base,0
38,0.6555555555555556,0.8256150589289267,756,111,temporal,sage,base,1
39,0.608,0.7022084369223469,1183,81,temporal,sage,base,1
40,0.49411764705882355,0.5894875529864978,1211,112,temporal,sage,base,1
41,0.74,0.7461265246559557,1132,116,temporal,sage,base,1
42,0.8504672897196262,0.9041437497568784,2154,239,temporal,sage,base,1
43,0.0,0.028189348433193828,1370,24,temporal,sage,base,1
44,0.046511627906976744,0.08554667657552886,1591,24,temporal,sage,base,1
45,0.0,0.04142775285984247,1221,5,temporal,sage,base,1
46,0.0,0.006718907351460222,712,2,temporal,sage,base,1
47,0.0,0.06770898909153576,846,22,temporal,sage,base,1
48,0.0,0.2567578998564091,471,36,temporal,sage,base,1
49,0.03333333333333333,0.13189979625167503,476,56,temporal,sage,base,1
38,0.7692307692307693,0.8323396300972429,756,111,temporal,sage,base,2
39,0.7482993197278912,0.8105204520341083,1183,81,temporal,sage,base,2
40,0.5978260869565217,0.663626904200737,1211,112,temporal,sage,base,2
41,0.7264150943396226,0.7118096424744913,1132,116,temporal,sage,base,2
42,0.8411633109619687,0.8869774139968466,2154,239,temporal,sage,base,2
43,0.0,0.02832257013569292,1370,24,temporal,sage,base,2
44,0.07407407407407407,0.04933496026382152,1591,24,temporal,sage,base,2
45,0.0,0.01983343840820807,1221,5,temporal,sage,base,2
46,0.0,0.01330532212885154,712,2,temporal,sage,base,2
47,0.0,0.06035976387057372,846,22,temporal,sage,base,2
48,0.0,0.24705034493304848,471,36,temporal,sage,base,2
49,0.03225806451612903,0.15142526295459008,476,56,temporal,sage,base,2
38,0.8476190476190476,0.8876478219717298,756,111,temporal,sage,base,3
39,0.7804878048780488,0.8257852768501003,1183,81,temporal,sage,base,3
40,0.5906735751295337,0.6931967392107187,1211,112,temporal,sage,base,3
41,0.7488584474885844,0.7661434929891547,1132,116,temporal,sage,base,3
42,0.8392857142857143,0.9047881427163229,2154,239,temporal,sage,base,3
43,0.0,0.024958978562015913,1370,24,temporal,sage,base,3
44,0.03636363636363636,0.05288178773324423,1591,24,temporal,sage,base,3
45,0.0,0.029196045217075518,1221,5,temporal,sage,base,3
46,0.0,0.007013005297150802,712,2,temporal,sage,base,3
47,0.0,0.05975704461332793,846,22,temporal,sage,base,3
48,0.0,0.24481942378758512,471,36,temporal,sage,base,3
49,0.03125,0.14044895045563022,476,56,temporal,sage,base,3
38,0.7384615384615385,0.8559340941897323,756,111,temporal,sage,base,4
39,0.7466666666666667,0.783655702359902,1183,81,temporal,sage,base,4
40,0.5988700564971752,0.6362631138330654,1211,112,temporal,sage,base,4
41,0.7511737089201878,0.7601648652714613,1132,116,temporal,sage,base,4
42,0.8318181818181818,0.8614468827057781,2154,239,temporal,sage,base,4
43,0.0,0.027949503712008994,1370,24,temporal,sage,base,4
44,0.045454545454545456,0.04287420900462824,1591,24,temporal,sage,base,4
45,0.0,0.01348512478092449,1221,5,temporal,sage,base,4
46,0.08333333333333333,0.25877192982456143,712,2,temporal,sage,base,4
47,0.0,0.056281111105378236,846,22,temporal,sage,base,4
48,0.0,0.2653955379824984,471,36,temporal,sage,base,4
49,0.03333333333333333,0.15125689376455775,476,56,temporal,sage,base,4
38,0.7875647668393783,0.8474105010120477,756,111,temporal,sage,base_gfp,0
39,0.5362318840579711,0.5855625746677374,1183,81,temporal,sage,base_gfp,0
40,0.5119047619047619,0.6171141346121434,1211,112,temporal,sage,base_gfp,0
41,0.6731707317073171,0.6728325824789638,1132,116,temporal,sage,base_gfp,0
42,0.8075117370892019,0.8875441355922974,2154,239,temporal,sage,base_gfp,0
43,0.031007751937984496,0.03248427538551155,1370,24,temporal,sage,base_gfp,0
44,0.04081632653061224,0.04951278541675907,1591,24,temporal,sage,base_gfp,0
45,0.0,0.011932321264837578,1221,5,temporal,sage,base_gfp,0
46,0.0,0.01845844918134075,712,2,temporal,sage,base_gfp,0
47,0.0,0.08435300175482398,846,22,temporal,sage,base_gfp,0
48,0.0,0.28915150465476086,471,36,temporal,sage,base_gfp,0
49,0.03076923076923077,0.14520118946632546,476,56,temporal,sage,base_gfp,0
38,0.6703296703296703,0.8060734759731604,756,111,temporal,sage,base_gfp,1
39,0.43859649122807015,0.5589528042184162,1183,81,temporal,sage,base_gfp,1
40,0.5465116279069767,0.6499089481321556,1211,112,temporal,sage,base_gfp,1
41,0.625,0.6830609307748586,1132,116,temporal,sage,base_gfp,1
42,0.7942583732057417,0.8678958125545814,2154,239,temporal,sage,base_gfp,1
43,0.0,0.03617677586568409,1370,24,temporal,sage,base_gfp,1
44,0.041666666666666664,0.04298134546895722,1591,24,temporal,sage,base_gfp,1
45,0.0,0.015313326737239782,1221,5,temporal,sage,base_gfp,1
46,0.0,0.028067484662576688,712,2,temporal,sage,base_gfp,1
47,0.0,0.04230009923372289,846,22,temporal,sage,base_gfp,1
48,0.0,0.23681942055028773,471,36,temporal,sage,base_gfp,1
49,0.03333333333333333,0.11637383673385251,476,56,temporal,sage,base_gfp,1
38,0.7150259067357513,0.8188077592331734,756,111,temporal,sage,base_gfp,2
39,0.5413533834586466,0.6441890401244328,1183,81,temporal,sage,base_gfp,2
40,0.5664739884393064,0.6557430399605033,1211,112,temporal,sage,base_gfp,2
41,0.7117117117117117,0.7116368773041253,1132,116,temporal,sage,base_gfp,2
42,0.8224719101123595,0.8810470431933672,2154,239,temporal,sage,base_gfp,2
43,0.0,0.03330537888735381,1370,24,temporal,sage,base_gfp,2
44,0.0392156862745098,0.0759123589794683,1591,24,temporal,sage,base_gfp,2
45,0.09523809523809523,0.036992656805998295,1221,5,temporal,sage,base_gfp,2
46,0.0,0.00913978494623656,712,2,temporal,sage,base_gfp,2
47,0.0,0.05377821350326571,846,22,temporal,sage,base_gfp,2
48,0.0,0.3144048289706601,471,36,temporal,sage,base_gfp,2
49,0.06153846153846154,0.1413226664975643,476,56,temporal,sage,base_gfp,2
38,0.5783132530120482,0.7796489232605059,756,111,temporal,sage,base_gfp,3
39,0.5323741007194245,0.5533483052825521,1183,81,temporal,sage,base_gfp,3
40,0.5647058823529412,0.6514109160076937,1211,112,temporal,sage,base_gfp,3
41,0.6526315789473685,0.6805219008277262,1132,116,temporal,sage,base_gfp,3
42,0.8149882903981265,0.8922294183848336,2154,239,temporal,sage,base_gfp,3
43,0.0,0.04642230303106111,1370,24,temporal,sage,base_gfp,3
44,0.03773584905660377,0.05402583979904319,1591,24,temporal,sage,base_gfp,3
45,0.0,0.022901619872995764,1221,5,temporal,sage,base_gfp,3
46,0.0,0.006414820088398446,712,2,temporal,sage,base_gfp,3
47,0.0,0.05579027162590585,846,22,temporal,sage,base_gfp,3
48,0.0,0.24212754792304547,471,36,temporal,sage,base_gfp,3
49,0.031746031746031744,0.1321143652974261,476,56,temporal,sage,base_gfp,3
38,0.7422680412371134,0.8130416778432981,756,111,temporal,sage,base_gfp,4
39,0.5555555555555556,0.616084837958482,1183,81,temporal,sage,base_gfp,4
40,0.5895953757225434,0.6769087501811649,1211,112,temporal,sage,base_gfp,4
41,0.6790697674418604,0.678853835626383,1132,116,temporal,sage,base_gfp,4
42,0.8306997742663657,0.8886357128723996,2154,239,temporal,sage,base_gfp,4
43,0.0,0.0347295217414278,1370,24,temporal,sage,base_gfp,4
44,0.06349206349206349,0.0764907605741937,1591,24,temporal,sage,base_gfp,4
45,0.0,0.013622716641678717,1221,5,temporal,sage,base_gfp,4
46,0.0,0.011281026443073536,712,2,temporal,sage,base_gfp,4
47,0.0,0.06363947285484382,846,22,temporal,sage,base_gfp,4
48,0.0,0.2593311076059905,471,36,temporal,sage,base_gfp,4
49,0.03225806451612903,0.13958046673942515,476,56,temporal,sage,base_gfp,4
38,0.9223300970873787,0.9644182373415753,756,111,temporal_rolling,xgb,base,0
39,0.8827586206896552,0.9471002275074852,1183,81,temporal_rolling,xgb,base,0
40,0.6961325966850829,0.7533365432296755,1211,112,temporal_rolling,xgb,base,0
41,0.9009009009009009,0.9493700387365956,1132,116,temporal_rolling,xgb,base,0
42,0.8227272727272728,0.88685918083622,2154,239,temporal_rolling,xgb,base,0
43,0.0,0.04788985724506943,1370,24,temporal_rolling,xgb,base,0
44,0.11428571428571428,0.09187978462572474,1591,24,temporal_rolling,xgb,base,0
45,0.0,0.0317002453227686,1221,5,temporal_rolling,xgb,base,0
46,0.09090909090909091,0.5111111111111111,712,2,temporal_rolling,xgb,base,0
47,0.25396825396825395,0.1670300286695597,846,22,temporal_rolling,xgb,base,0
48,0.0,0.24562036717391286,471,36,temporal_rolling,xgb,base,0
49,0.6758620689655173,0.5987358619895187,476,56,temporal_rolling,xgb,base,0
38,0.9223300970873787,0.9644182373415753,756,111,temporal_rolling,xgb,base,1
39,0.8827586206896552,0.9471002275074852,1183,81,temporal_rolling,xgb,base,1
40,0.6961325966850829,0.7533365432296755,1211,112,temporal_rolling,xgb,base,1
41,0.9009009009009009,0.9493700387365956,1132,116,temporal_rolling,xgb,base,1
42,0.8227272727272728,0.88685918083622,2154,239,temporal_rolling,xgb,base,1
43,0.0,0.04788985724506943,1370,24,temporal_rolling,xgb,base,1
44,0.11428571428571428,0.09187978462572474,1591,24,temporal_rolling,xgb,base,1
45,0.0,0.0317002453227686,1221,5,temporal_rolling,xgb,base,1
46,0.09090909090909091,0.5111111111111111,712,2,temporal_rolling,xgb,base,1
47,0.25396825396825395,0.1670300286695597,846,22,temporal_rolling,xgb,base,1
48,0.0,0.24562036717391286,471,36,temporal_rolling,xgb,base,1
49,0.6758620689655173,0.5987358619895187,476,56,temporal_rolling,xgb,base,1
38,0.9223300970873787,0.9644182373415753,756,111,temporal_rolling,xgb,base,2
39,0.8827586206896552,0.9471002275074852,1183,81,temporal_rolling,xgb,base,2
40,0.6961325966850829,0.7533365432296755,1211,112,temporal_rolling,xgb,base,2
41,0.9009009009009009,0.9493700387365956,1132,116,temporal_rolling,xgb,base,2
42,0.8227272727272728,0.88685918083622,2154,239,temporal_rolling,xgb,base,2
43,0.0,0.04788985724506943,1370,24,temporal_rolling,xgb,base,2
44,0.11428571428571428,0.09187978462572474,1591,24,temporal_rolling,xgb,base,2
45,0.0,0.0317002453227686,1221,5,temporal_rolling,xgb,base,2
46,0.09090909090909091,0.5111111111111111,712,2,temporal_rolling,xgb,base,2
47,0.25396825396825395,0.1670300286695597,846,22,temporal_rolling,xgb,base,2
48,0.0,0.24562036717391286,471,36,temporal_rolling,xgb,base,2
49,0.6758620689655173,0.5987358619895187,476,56,temporal_rolling,xgb,base,2
38,0.9223300970873787,0.9644182373415753,756,111,temporal_rolling,xgb,base,3
39,0.8827586206896552,0.9471002275074852,1183,81,temporal_rolling,xgb,base,3
40,0.6961325966850829,0.7533365432296755,1211,112,temporal_rolling,xgb,base,3
41,0.9009009009009009,0.9493700387365956,1132,116,temporal_rolling,xgb,base,3
42,0.8227272727272728,0.88685918083622,2154,239,temporal_rolling,xgb,base,3
43,0.0,0.04788985724506943,1370,24,temporal_rolling,xgb,base,3
44,0.11428571428571428,0.09187978462572474,1591,24,temporal_rolling,xgb,base,3
45,0.0,0.0317002453227686,1221,5,temporal_rolling,xgb,base,3
46,0.09090909090909091,0.5111111111111111,712,2,temporal_rolling,xgb,base,3
47,0.25396825396825395,0.1670300286695597,846,22,temporal_rolling,xgb,base,3
48,0.0,0.24562036717391286,471,36,temporal_rolling,xgb,base,3
49,0.6758620689655173,0.5987358619895187,476,56,temporal_rolling,xgb,base,3
38,0.9223300970873787,0.9644182373415753,756,111,temporal_rolling,xgb,base,4
39,0.8827586206896552,0.9471002275074852,1183,81,temporal_rolling,xgb,base,4
40,0.6961325966850829,0.7533365432296755,1211,112,temporal_rolling,xgb,base,4
41,0.9009009009009009,0.9493700387365956,1132,116,temporal_rolling,xgb,base,4
42,0.8227272727272728,0.88685918083622,2154,239,temporal_rolling,xgb,base,4
43,0.0,0.04788985724506943,1370,24,temporal_rolling,xgb,base,4
44,0.11428571428571428,0.09187978462572474,1591,24,temporal_rolling,xgb,base,4
45,0.0,0.0317002453227686,1221,5,temporal_rolling,xgb,base,4
46,0.09090909090909091,0.5111111111111111,712,2,temporal_rolling,xgb,base,4
47,0.25396825396825395,0.1670300286695597,846,22,temporal_rolling,xgb,base,4
48,0.0,0.24562036717391286,471,36,temporal_rolling,xgb,base,4
49,0.6758620689655173,0.5987358619895187,476,56,temporal_rolling,xgb,base,4
38,0.9117647058823529,0.9573526464857718,756,111,temporal_rolling,xgb,base_gfp,0
39,0.8827586206896552,0.9474071042185225,1183,81,temporal_rolling,xgb,base_gfp,0
40,0.717391304347826,0.7503315165969716,1211,112,temporal_rolling,xgb,base_gfp,0
41,0.9210526315789473,0.9562804793419523,1132,116,temporal_rolling,xgb,base_gfp,0
42,0.8400954653937948,0.8906540441650126,2154,239,temporal_rolling,xgb,base_gfp,0
43,0.0,0.054931837642048384,1370,24,temporal_rolling,xgb,base_gfp,0
44,0.11764705882352941,0.12346971797832504,1591,24,temporal_rolling,xgb,base_gfp,0
45,0.0,0.030204801067284008,1221,5,temporal_rolling,xgb,base_gfp,0
46,0.07407407407407407,0.5106382978723404,712,2,temporal_rolling,xgb,base_gfp,0
47,0.32432432432432434,0.28300520318138367,846,22,temporal_rolling,xgb,base_gfp,0
48,0.2222222222222222,0.264743998782395,471,36,temporal_rolling,xgb,base_gfp,0
