dataset,regime,model,features,metric,seed_mean,ci_low,ci_high,ci_kind,n_seeds,feature_version,split_hash,commit
elliptic_pp,temporal,sage,base_gfp,test_p_at_r80,0.18577431699018238,0.17194732273091878,0.19960131124944597,seed_t,5,d6e912c8fcb83f3b,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base,test_f1,0.7215007215007215,0.7215007215007215,0.7215007215007215,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base,test_pr_auc,0.7264431258771145,0.7264431258771145,0.7264431258771145,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base,test_roc_auc,0.9106901002528422,0.9106901002528422,0.9106901002528422,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base,test_p_at_r50,0.9833729216152018,0.9833729216152018,0.9833729216152018,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base,test_p_at_r80,0.19592198581560283,0.19592198581560283,0.19592198581560283,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base_gfp,test_f1,0.718299164768413,0.718299164768413,0.718299164768413,seed_t,5,d6e912c8fcb83f3b,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base_gfp,test_pr_auc,0.7148052327148748,0.7148052327148748,0.7148052327148748,seed_t,5,d6e912c8fcb83f3b,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base_gfp,test_roc_auc,0.8748915057179285,0.8748915057179284,0.8748915057179286,seed_t,5,d6e912c8fcb83f3b,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base_gfp,test_p_at_r50,0.9975903614457831,0.997590361445783,0.9975903614457832,seed_t,5,d6e912c8fcb83f3b,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,base_gfp,test_p_at_r80,0.1588785046728972,0.1588785046728972,0.1588785046728972,seed_t,5,d6e912c8fcb83f3b,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,raw165,test_f1,0.7780979827089337,0.7780979827089337,0.7780979827089337,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,raw165,test_pr_auc,0.7389899462515834,0.7389899462515834,0.7389899462515834,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,raw165,test_roc_auc,0.8990655444949344,0.8990655444949343,0.8990655444949345,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,raw165,test_p_at_r50,0.9951923076923077,0.9951923076923077,0.9951923076923077,seed_t,5,none,f576c23d95a59084,afe6ef5
elliptic_pp,temporal,xgb,raw165,test_p_at_r80,0.19425725168473484,0.19425725168473484,0.19425725168473484,seed_t,5,none,f576c23d95a59084,afe6ef5
